,Año,Modelo,Precio,Kms,Transmision,t_combustible,Href
0,2019,Haval H6 1.5T Auto Elite,$15.990.000 CLP,69.430 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2019-haval-h6-1-5t-auto-elite/CP-AD-7906545/?Cr=0&gts=CP-AD-7906545&gtsSaleId=CP-AD-7906545&gtsViewType=showcase&rankingType=showcase
1,2012,Audi A6 2.0 TFSI Multitronic,$14.200.000 CLP,143.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2012-audi-a6-2-0-tfsi-multitronic/CL-AD-12415321/?Cr=0&gts=CL-AD-12415321&gtsSaleId=CL-AD-12415321&gtsViewType=showcase&rankingType=showcase
2,2018,Ford F-150 5.0 Double Cab XLT 4WD,$30.250.000 CLP,60.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2018-ford-f-150-5-0-double-cab-xlt-4wd/CL-AD-12711546/?Cr=0&gts=CL-AD-12711546&gtsSaleId=CL-AD-12711546&gtsViewType=showcase&rankingType=showcase
3,2018,Peugeot Boxer L2H2,$22.990.000 CLP,68.951 km,Manual,Diesel,https://www.chileautos.cl/vehiculos/detalles/2018-peugeot-boxer-l2h2/CP-AD-7927966/?Cr=0
4,2022,Foton G7 2.0TD Sport DC,$20.575.100 CLP,Manual,Diesel,"13,3 Kms/Lt.",https://www.chileautos.cl/vehiculos/detalles/2022-foton-g7-2-0td-sport-dc/CP-AD-7923161/?Cr=1
5,2013,Mercedes-Benz Ml 350 3.5 ML 350 Sport 4Matic,$25.980.000 CLP,129.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2013-mercedes-benz-ml-350-3-5-ml-350-sport-4matic/CP-AD-7957213/?Cr=2
6,2012,Great Wall Wingle 5 2.2 MT CS GAS,$7.990.000 CLP,135.000 km,Manual,Gas,https://www.chileautos.cl/vehiculos/detalles/2012-great-wall-wingle-5-2-2-mt-cs-gas/CP-AD-7920484/?Cr=3
7,2019,Dodge Durango 3.6 Limited 4WD,$29.900.000 CLP,49.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2019-dodge-durango-3-6-limited-4wd/CP-AD-7906360/?Cr=5
8,2015,Land Rover Range Rover Sport 3.0 SDV6 SE Auto 4WD,$38.500.000 CLP,120.000 km,Automática,Diesel,https://www.chileautos.cl/vehiculos/detalles/2015-land-rover-range-rover-sport-3-0-sdv6-se-auto-4wd/CP-AD-1177345/?Cr=6
9,2022,Nissan Sentra 2.0 Advance,$19.399.000 CLP,Manual,Bencina,"13,2 Kms/Lt.",https://www.chileautos.cl/vehiculos/detalles/2022-nissan-sentra-2-0-advance/CP-AD-7971679/?Cr=7
10,2019,Jaguar E-Pace 2.0 D180 Auto 4WD,$37.900.000 CLP,47.000 km,Automática,Diesel,https://www.chileautos.cl/vehiculos/detalles/2019-jaguar-e-pace-2-0-d180-auto-4wd/CP-AD-1260490/?Cr=9
11,2017,Citroën Spacetourer,$17.900.000 CLP,84.000 km,Manual,Diesel,https://www.chileautos.cl/vehiculos/detalles/2017-citron-spacetourer/CP-AD-7965176/?Cr=10
12,2016,Kia Rio 5 1.4 EX Manual,$10.490.000 CLP,67.733 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2016-kia-rio-5-1-4-ex-manual/CP-AD-7949366/?Cr=11
13,2022,Foton Tm3 1.5 SC,$11.174.100 CLP,Manual,Bencina,"12,7 Kms/Lt.",https://www.chileautos.cl/vehiculos/detalles/2022-foton-tm3-1-5-sc/CP-AD-7927118/?Cr=12
14,2016,Volkswagen Golf 1.6 MSI Auto,$13.890.000 CLP,89.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2016-volkswagen-golf-1-6-msi-auto/CP-AD-7957212/?Cr=13
15,2014,Kia Sportage 2.0 LX AC DAB,$14.890.000 CLP,141.000 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2014-kia-sportage-2-0-lx-ac-dab/CP-AD-7948756/?Cr=14
16,2015,Jeep Grand Cherokee 3.6 Limited 4WD Auto,$22.980.000 CLP,152.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2015-jeep-grand-cherokee-3-6-limited-4wd-auto/CP-AD-7969804/?Cr=15
17,2017,Nissan Np300 2.3 DSL Auto LE 4WD,$20.890.000 CLP,140.000 km,Automática,Diesel,https://www.chileautos.cl/vehiculos/detalles/2017-nissan-np300-2-3-dsl-auto-le-4wd/CP-AD-7940957/?Cr=17
18,2022,Dongfeng Sx6 1.6 Luxury 7 Asientos,$12.890.000 CLP,Manual,Bencina,"13,8 Kms/Lt.",https://www.chileautos.cl/vehiculos/detalles/2022-dongfeng-sx6-1-6-luxury-7-asientos/CP-AD-7947889/?Cr=18
19,2015,Subaru Forester 4x4 2.0 AUT,$13.990.000 CLP,165.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2015-subaru-forester-4x4-2-0-aut/CP-AD-7961995/?Cr=19
20,2007,Ford Expedition EDDIE BAUER 4X4,$16.490.000 CLP,123.500 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2007-ford-expedition-eddie-bauer-4x4/CP-AD-7959969/?Cr=20
21,2018,Volvo V40 2.0 D2 R-Design,$22.490.000 CLP,70.500 km,Manual,Diesel,https://www.chileautos.cl/vehiculos/detalles/2018-volvo-v40-2-0-d2-r-design/CP-AD-7953409/?Cr=21
22,2018,Chevrolet D-Max 2.5 DC 4WD,$16.990.000 CLP,94.300 km,Manual,Diesel,https://www.chileautos.cl/vehiculos/detalles/2018-chevrolet-d-max-2-5-dc-4wd/CP-AD-1229677/?Cr=23
23,2019,Chery Iq GL 1.0 AC,$6.590.000 CLP,43.000 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2019-chery-iq-gl-1-0-ac/CP-AD-7903824/?Cr=26
24,2022,Dfsk 500 1.5 Luxury,$12.190.000 CLP,Manual,Bencina,"13,7 Kms/Lt.",https://www.chileautos.cl/vehiculos/detalles/2022-dfsk-500-1-5-luxury/CP-AD-7916639/?Cr=27
25,2020,Volvo Xc60 2.0 D4 Momentum Auto 4WD,$34.990.000 CLP,44.144 km,Automática,Diesel,https://www.chileautos.cl/vehiculos/detalles/2020-volvo-xc60-2-0-d4-momentum-auto-4wd/CP-AD-7932338/?Cr=28
26,2019,Fiat Fiorino City 1.3 CITY MT,$10.890.000 CLP,87.000 km,Manual,Diesel,https://www.chileautos.cl/vehiculos/detalles/2019-fiat-fiorino-city-1-3-city-mt/CP-AD-7926679/?Cr=29
27,2016,SsangYong Stavic,$18.400.000 CLP,64.613 km,Automática,Diesel,https://www.chileautos.cl/vehiculos/detalles/2016-ssangyong-stavic/CL-AD-12664964/?Cr=30
28,2022,Ford F-150 5.0 Double Cab XLT 4WD,$48.780.000 CLP,5.500 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2022-ford-f-150-5-0-double-cab-xlt-4wd/CL-AD-12536984/?Cr=31
29,2020,Chevrolet Traverse 3.6 Premier Auto 4WD,$37.300.000 CLP,44.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2020-chevrolet-traverse-3-6-premier-auto-4wd/CL-AD-12657994/?Cr=32
30,2016,Audi A6 3.0 TFSI Quattro S Tronic,$25.500.000 CLP,63.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2016-audi-a6-3-0-tfsi-quattro-s-tronic/CL-AD-12524832/?Cr=33
31,2020,Citroën C3 1.5 BlueHDI 100 S&S BVM6 Feel,$15.990.000 CLP,17.000 km,Manual,Diesel,https://www.chileautos.cl/vehiculos/detalles/2020-citron-c3-1-5-bluehdi-100-ss-bvm6-feel/CL-AD-12201997/?Cr=34
32,2019,Opel Grandland X,$17.790.000 CLP,27.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2019-opel-grandland-x/CL-AD-12601136/?Cr=35
33,2014,BMW M3,$34.900.000 CLP,38.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2014-bmw-m3/CL-AD-12411444/?Cr=36
34,2013,Nissan Qashqai 1.6 4x2,$10.700.000 CLP,233.000 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2013-nissan-qashqai-1-6-4x2/CL-AD-12516119/?Cr=37
35,2014,Toyota Tundra 5.7 Auto Limited 4WD,$22.500.000 CLP,112.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2014-toyota-tundra-5-7-auto-limited-4wd/CL-AD-12354286/?Cr=38
36,2019,Nissan Np300 2.3 Manual DSL LE 4WD,$27.300.000 CLP,28.000 km,Manual,Diesel,https://www.chileautos.cl/vehiculos/detalles/2019-nissan-np300-2-3-manual-dsl-le-4wd/CL-AD-12094663/?Cr=39
37,2008,Hyundai Sonata NF 2.4 GLS AUTO,$6.900.000 CLP,102.500 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2008-hyundai-sonata-nf-2-4-gls-auto/CL-AD-12736494/?Cr=40
38,2016,Mercedes-Benz A 200 1.6 A 200,$20.399.000 CLP,85.000 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2016-mercedes-benz-a-200-1-6-a-200/CL-AD-12350333/?Cr=41
39,2020,Ford Explorer 2.3 Limited Ecoboost Auto 4WD,$37.490.000 CLP,60.500 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2020-ford-explorer-2-3-limited-ecoboost-auto-4wd/CL-AD-12596198/?Cr=42
40,2014,Jeep Grand Cherokee,$16.500.000 CLP,138.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2014-jeep-grand-cherokee/CL-AD-12112854/?Cr=44
41,2019,Volkswagen Atlas,$29.500.000 CLP,39.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2019-volkswagen-atlas/CL-AD-12274764/?Cr=45
42,2010,Dodge Durango,$10.790.000 CLP,177.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2010-dodge-durango/CL-AD-11500878/?Cr=47
43,2018,Mercedes-Benz Cla 220,$27.000.000 CLP,97.000 km,Automática,Diesel,https://www.chileautos.cl/vehiculos/detalles/2018-mercedes-benz-cla-220/CL-AD-12600428/?Cr=48
