,Año,Modelo,Precio,Kms,Transmision,t_combustible,Rendimiento,Href
0,2014,Sportage,14490000,141000,Manual,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2014-kia-sportage-2-0-lx-ac-dab/CP-AD-7948756/?Cr=0&gts=CP-AD-7948756&gtsSaleId=CP-AD-7948756&gtsViewType=topspot&rankingType=topspot
1,2020,Xc60,46900000,28000,Automática,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2020-volvo-xc60-2-0-d5-momentum-plus-auto-4wd/CL-AD-12719230/?Cr=0&gts=CL-AD-12719230&gtsSaleId=CL-AD-12719230&gtsViewType=showcase&rankingType=showcase
2,2008,Corolla,3000000,178000,Manual,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2008-toyota-corolla-1-6-xli/CL-AD-12684632/?Cr=0&gts=CL-AD-12684632&gtsSaleId=CL-AD-12684632&gtsViewType=showcase&rankingType=showcase
3,2020,Uno,9600000,15000,Manual,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2020-fiat-uno-1-4-manual-sporting/CL-AD-12470345/?Cr=0&gts=CL-AD-12470345&gtsSaleId=CL-AD-12470345&gtsViewType=showcase&rankingType=showcase
4,2019,Np300,27000000,40000,Automática,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2019-nissan-np300-2-3-dsl-auto-le-4wd/CL-AD-11951511/?Cr=0&gts=CL-AD-11951511&gtsSaleId=CL-AD-11951511&gtsViewType=showcase&rankingType=showcase
5,2015,Outback,18690000,110000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2015-subaru-outback-2-5i-cvt-limited-se-4wd/CP-AD-7979836/?Cr=0
6,2019,Impreza,18290000,21000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2019-subaru-impreza-2-0i-cvt-auto-xs-4wd/CP-AD-7971868/?Cr=1
7,2007,Expedition,15990000,123500,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2007-ford-expedition-eddie-bauer-4x4/CP-AD-7959969/?Cr=2
8,2022,Corolla,27460800,,Automática,Híbrido,,https://www.chileautos.cl/vehiculos/detalles/2022-toyota-corolla-sd-cvt-hibrido-1-8/CP-AD-7916503/?Cr=3
9,2019,Durango,29900000,49000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2019-dodge-durango-3-6-limited-4wd/CP-AD-7906360/?Cr=4
10,2018,118,21890000,20000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2018-bmw-118-1-5-118i-a-millennial-5p/CP-AD-7988840/?Cr=5
11,2019,Tiggo,13980000,37000,Manual,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2019-chery-tiggo-7-1-5-glx/CP-AD-7925777/?Cr=6
12,2018,V40,21590000,70500,Manual,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2018-volvo-v40-2-0-d2-r-design/CP-AD-7953409/?Cr=7
13,2018,Boxer,22990000,68951,Manual,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2018-peugeot-boxer-l2h2/CP-AD-7927966/?Cr=8
14,2016,Grand,14890000,119907,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2016-suzuki-grand-nomade-2-4-auto-glx-ltd-nav-4wd/CP-AD-7971941/?Cr=9
15,2019,E-Pace,37900000,47000,Automática,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2019-jaguar-e-pace-2-0-d180-auto-4wd/CP-AD-1260490/?Cr=10
16,2014,Traverse,14790000,165000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2014-chevrolet-traverse-3-6-lt-auto-4wd/CP-AD-7973022/?Cr=11
17,2014,Sportage,14490000,141000,Manual,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2014-kia-sportage-2-0-lx-ac-dab/CP-AD-7948756/?Cr=0&gts=CP-AD-7948756&gtsSaleId=CP-AD-7948756&gtsViewType=topspot&rankingType=topspot
18,2020,Xc60,46900000,28000,Automática,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2020-volvo-xc60-2-0-d5-momentum-plus-auto-4wd/CL-AD-12719230/?Cr=0&gts=CL-AD-12719230&gtsSaleId=CL-AD-12719230&gtsViewType=showcase&rankingType=showcase
19,2008,Corolla,3000000,178000,Manual,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2008-toyota-corolla-1-6-xli/CL-AD-12684632/?Cr=0&gts=CL-AD-12684632&gtsSaleId=CL-AD-12684632&gtsViewType=showcase&rankingType=showcase
20,2020,Uno,9600000,15000,Manual,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2020-fiat-uno-1-4-manual-sporting/CL-AD-12470345/?Cr=0&gts=CL-AD-12470345&gtsSaleId=CL-AD-12470345&gtsViewType=showcase&rankingType=showcase
21,2019,Np300,27000000,40000,Automática,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2019-nissan-np300-2-3-dsl-auto-le-4wd/CL-AD-11951511/?Cr=0&gts=CL-AD-11951511&gtsSaleId=CL-AD-11951511&gtsViewType=showcase&rankingType=showcase
22,2015,Outback,18690000,110000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2015-subaru-outback-2-5i-cvt-limited-se-4wd/CP-AD-7979836/?Cr=0
23,2019,Impreza,18290000,21000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2019-subaru-impreza-2-0i-cvt-auto-xs-4wd/CP-AD-7971868/?Cr=1
24,2007,Expedition,15990000,123500,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2007-ford-expedition-eddie-bauer-4x4/CP-AD-7959969/?Cr=2
25,2022,Corolla,27460800,,Automática,Híbrido,,https://www.chileautos.cl/vehiculos/detalles/2022-toyota-corolla-sd-cvt-hibrido-1-8/CP-AD-7916503/?Cr=3
26,2019,Durango,29900000,49000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2019-dodge-durango-3-6-limited-4wd/CP-AD-7906360/?Cr=4
27,2018,118,21890000,20000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2018-bmw-118-1-5-118i-a-millennial-5p/CP-AD-7988840/?Cr=5
28,2019,Tiggo,13980000,37000,Manual,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2019-chery-tiggo-7-1-5-glx/CP-AD-7925777/?Cr=6
29,2018,V40,21590000,70500,Manual,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2018-volvo-v40-2-0-d2-r-design/CP-AD-7953409/?Cr=7
30,2018,Boxer,22990000,68951,Manual,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2018-peugeot-boxer-l2h2/CP-AD-7927966/?Cr=8
